"Basic Commission Rate(8%)","","","","","","","",""
"Product's Info","Unit Price($)","Image Link","Product Link","Store's Info","Store Link","Sold Quantity","Promotion Times","Commission Expense"
"soft Silicone Case For Samsung Galaxy A6 2018 Dual SIM SM A600 A600F Soft Tpu Back Cover For Samsung A6 Plus 2018 A605 A605F","1.20","https://ae01.alicdn.com/kf/HTB1tDh1acrrK1Rjy1zeq6xalFXaP/soft-Silicone-Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2Fsoft-Silicone-Case-For-Samsung-Galaxy-A6-2018-Dual-SIM-SM-A600-A600F-Soft-Tpu-Back%2F32962527670.html","Shop4496050 Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F4496050","2851","115","15.87",
"Silicone Case For Samsung Galaxy A6 2018 case SM A600 A600F Candy Soft Case For Samsung A6 Plus 2018 cover A605 A605F funda","1.32","https://ae01.alicdn.com/kf/HTB1CvggaznuK1RkSmFPq6AuzFXaU/Silicone-Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-case.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FSilicone-Case-For-Samsung-Galaxy-A6-2018-case-SM-A600-A600F-Candy-Soft-Case-For-Samsung%2F32965281492.html","Shenzhen B2C Trading Co., Ltd.","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F2179166","883","30","3.27",
"Case For Samsung Galaxy A6 2018 Transparent Cartoon Soft TPU Silicone Phone Cases Back Cover For Samsung Galaxy A6 A 6 Plus 2018","1.27","https://ae01.alicdn.com/kf/HTB1hu36lbsrBKNjSZFpq6AXhFXav/Case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-Transparent-Cartoon.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FCase-For-Samsung-Galaxy-A6-2018-Transparent-Cartoon-Soft-TPU-Silicone-Phone-Cases-Back-Cover-For%2F32900519573.html","RIVAS Laconic Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F1905856","3611","130","17.9",
"Silicone case For Samsung Galaxy A6 2018 case Dual SIM SM A600 A600F for samsung A6 plus 2018 A605 A605F protective pattern bags","1.59","https://ae01.alicdn.com/kf/HTB1CaA0KeGSBuNjSspbq6AiipXaw/Silicone-case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-case.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FSilicone-case-For-Samsung-Galaxy-A6-2018-case-Dual-SIM-SM-A600-A600F-for-samsung-A6%2F32922271335.html","PAZAK factory Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F4498037","1402","38","5.2",
"Phone Case For Samsung Galaxy A50 A30 M20 M10 Gradient Tempered Glass Case For Galaxy A6 A7 A750 A8 2018 Glass Case Cover","3.32","https://ae01.alicdn.com/kf/HTB1zI8Obu3tHKVjSZSgq6x4QFXa0/Phone-Case-For-Samsung-font-b-Galaxy-b-font-A50-A30-M20-M10-Gradient-Tempered-Glass.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FPhone-Case-For-Samsung-Galaxy-A50-A30-M20-M10-Gradient-Tempered-Glass-Case-For-Galaxy-A6%2F32994337555.html","iMefone Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F3902014","193","2","0.48",
"Hybrid case For Samsung Galaxy A6 A6Plus 2018 Luxury Soft silicone+PC With stand Protector back cover for samsung a6 plus 2018","4.23","https://ae01.alicdn.com/kf/HTB1uX3RaPfguuRjSspaq6yXVXXaD/Hybrid-case-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-A6Plus-2018.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FHybrid-case-For-Samsung-Galaxy-A6-A6Plus-2018-Luxury-Soft-silicone-PC-With-stand-Protector-back%2F32906527437.html","Top wonderful store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F1626358","848","17","5.69",
"CROWNPRO Silicone Case FOR Samsung Galaxy A6 2018 Case Cover SM A600 A600F Soft TPU sFOR Samsung A6 Plus 2018 Case A605 A605F","1.20","https://ae01.alicdn.com/kf/HTB111GaCh1YBuNjy1zcq6zNcXXaB/CROWNPRO-Silicone-Case-FOR-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FCROWNPRO-Silicone-Case-FOR-Samsung-Galaxy-A6-2018-Case-Cover-SM-A600-A600F-Soft-TPU-sFOR%2F32890820370.html",,"http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fnull","360","11","1.51",
"Cover For Samsung Galaxy A6 2018 Case ,High Quality Phone Black Back Cover Case for Samsung Galaxy A6 plus 2018 Phone Case Cover","1.56","https://ae01.alicdn.com/kf/HTB1mD4dB2iSBuNkSnhJq6zDcpXaA/Cover-For-Samsung-font-b-Galaxy-b-font-font-b-A6-b-font-2018-Case-High.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FCover-For-Samsung-Galaxy-A6-2018-Case-High-Quality-Phone-Black-Back-Cover-Case-for-Samsung%2F32913218641.html","Linlin Digital Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F2621001","862","18","2.78",
"Dynamic Liquid Quicksand Soft Case for Samsung Galaxy A6 A8 A7 2018 A750 S9 S8 Plus S7 Edge A3 A5 A7 2017 J3 J5 J7 2016 Note 8 9","2.49","https://ae01.alicdn.com/kf/HTB1nbraXZfrK1RkSnb4q6xHRFXaf/Dynamic-Liquid-Quicksand-Soft-Case-for-Samsung-font-b-Galaxy-b-font-font-b-A6-b.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FDynamic-Liquid-Quicksand-Soft-Case-for-Samsung-Galaxy-A6-A8-A7-2018-A750-S9-S8-Plus%2F32959827547.html","Shop3631022 Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F3631022","3405","114","25.0",
"Mokoemi Fashion Pattern Luxury Soft 5.6""For Samsung Galaxy A6 2018 Case For Samsung Galaxy A6 Plus 2018 Phone Case Cover","1.99","https://ae01.alicdn.com/kf/HLB1mw94QgDqK1RjSZSyq6yxEVXaq/Mokoemi-Fashion-Pattern-Luxury-Soft-5-6-For-Samsung-font-b-Galaxy-b-font-font-b.jpg_140x140.jpg","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fitem%2FMokoemi-Fashion-Pattern-Luxury-Soft-5-6-For-Samsung-Galaxy-A6-2018-Case-For-Samsung-Galaxy%2F32998281375.html","Mokoemi Tech Store","http://s.click.aliexpress.com/deep_link.htm?aff_short_key=cC6zZYGo&dl_target_url=https%3A%2F%2Fwww.aliexpress.com%2Fstore%2F1504185","41","0","0",
