Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Electronic Cigarettes,200003561,4Pcs Vape Pods 1.0ml Capacity Cartridge Pod 1.4ohm Coil Resistance Refillable Pod for e-Cigarettes Starter Kit,33013777453,https://ae01.alicdn.com/kf/HTB1_uTOe2WG3KVjSZFgq6zTspXas/4Pcs-Vape-Pods-1-0ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for-e.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1_uTOe2WG3KVjSZFgq6zTspXas/4Pcs-Vape-Pods-1-0ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for-e.jpg,https://ae01.alicdn.com/kf/HTB1dgjOe3mH3KVjSZKzq6z2OXXaF/4Pcs-Vape-Pods-1-0ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for-e.jpg,https://ae01.alicdn.com/kf/HTB1x3jOe3mH3KVjSZKzq6z2OXXap/4Pcs-Vape-Pods-1-0ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for-e.jpg,https://ae01.alicdn.com/kf/HTB16UjPe8OD3KVjSZFFq6An9pXaN/4Pcs-Vape-Pods-1-0ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for-e.jpg,https://ae01.alicdn.com/kf/HTB1EnLOe2WG3KVjSZPcq6zkbXXaN/4Pcs-Vape-Pods-1-0ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for-e.jpg,",https://www.aliexpress.com/item/4Pcs-Vape-Pods-1-0ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for-e/33013777453.html,12.98,9.99,8.00%,2024-07-04,23%,http://s.click.aliexpress.com/e/bSisrrUy
Electronic Cigarettes,200003561,Portable 1200mah Power Bank Charger Box For JUUL Charging Case Storage Holder with Led Indicator Light And Magnetic Cover,32979602295,https://ae01.alicdn.com/kf/HTB191ywe8Cw3KVjSZR0q6zcUpXaN/Portable-1200mah-Power-Bank-Charger-Box-For-JUUL-Charging-Case-Storage-Holder-with-Led-Indicator-Light.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB191ywe8Cw3KVjSZR0q6zcUpXaN/Portable-1200mah-Power-Bank-Charger-Box-For-JUUL-Charging-Case-Storage-Holder-with-Led-Indicator-Light.jpg,https://ae01.alicdn.com/kf/HTB1wlSne2WG3KVjSZPcq6zkbXXag/Portable-1200mah-Power-Bank-Charger-Box-For-JUUL-Charging-Case-Storage-Holder-with-Led-Indicator-Light.jpg,https://ae01.alicdn.com/kf/HTB1hW9bdQxz61VjSZFrq6xeLFXaL/Portable-1200mah-Power-Bank-Charger-Box-For-JUUL-Charging-Case-Storage-Holder-with-Led-Indicator-Light.jpg,https://ae01.alicdn.com/kf/HTB1gYCte8Gw3KVjSZFwq6zQ2FXaK/Portable-1200mah-Power-Bank-Charger-Box-For-JUUL-Charging-Case-Storage-Holder-with-Led-Indicator-Light.jpg,https://ae01.alicdn.com/kf/HTB1.faoe8WD3KVjSZFsq6AqkpXaT/Portable-1200mah-Power-Bank-Charger-Box-For-JUUL-Charging-Case-Storage-Holder-with-Led-Indicator-Light.jpg,",https://www.aliexpress.com/item/Portable-1200mah-Power-Bank-Charger-Box-For-JUUL-Charging-Case-Storage-Holder-with-Led-Indicator-Light/32979602295.html,24.98,16.49,8.00%,2024-07-03,34%,http://s.click.aliexpress.com/e/F581mwy
Electronic Cigarettes,200003561,DOTENT Athena Intake RTA Atomizer 510 Thread 3.5ml Dual Coils Adjustable Air Flow Atomizador Electronic Cigarette Tank for Vape,32921918544,https://ae01.alicdn.com/kf/HTB1JQJCXiLxK1Rjy0Ffq6zYdVXa2/DOTENT-Athena-Intake-RTA-Atomizer-510-Thread-3-5ml-Dual-Coils-Adjustable-Air-Flow-Atomizador-Electronic.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1JQJCXiLxK1Rjy0Ffq6zYdVXa2/DOTENT-Athena-Intake-RTA-Atomizer-510-Thread-3-5ml-Dual-Coils-Adjustable-Air-Flow-Atomizador-Electronic.jpg,https://ae01.alicdn.com/kf/HTB1iDXCXc_vK1RkSmRyq6xwupXar/DOTENT-Athena-Intake-RTA-Atomizer-510-Thread-3-5ml-Dual-Coils-Adjustable-Air-Flow-Atomizador-Electronic.jpg,https://ae01.alicdn.com/kf/HTB19JFDXh_rK1RkHFqDq6yJAFXab/DOTENT-Athena-Intake-RTA-Atomizer-510-Thread-3-5ml-Dual-Coils-Adjustable-Air-Flow-Atomizador-Electronic.jpg,https://ae01.alicdn.com/kf/HTB1bNeqXZfpK1RjSZFOq6y6nFXay/DOTENT-Athena-Intake-RTA-Atomizer-510-Thread-3-5ml-Dual-Coils-Adjustable-Air-Flow-Atomizador-Electronic.jpg,https://ae01.alicdn.com/kf/HTB1Fz5pXYvpK1RjSZPiq6zmwXXaF/DOTENT-Athena-Intake-RTA-Atomizer-510-Thread-3-5ml-Dual-Coils-Adjustable-Air-Flow-Atomizador-Electronic.jpg,",https://www.aliexpress.com/item/DOTENT-Athena-Intake-RTA-Atomizer-510-Thread-3-5ml-Dual-Coils-Adjustable-Air-Flow-Atomizador-Electronic/32921918544.html,17.52,14.89,40.00%,2024-06-21,15%,http://s.click.aliexpress.com/e/zJ5PsSc
Electronic Cigarettes,200003561,2019 warhead RDA 30mm diamater red copper/brass/stainless steel Adjustable Airflow Tank For Electronic Cigarette Hookah Box Mod,33008773060,https://ae01.alicdn.com/kf/HTB1uwSFTSzqK1RjSZPcq6zTepXae/2019-warhead-RDA-30mm-diamater-red-copper-brass-stainless-steel-Adjustable-Airflow-Tank-For-Electronic-Cigarette.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1uwSFTSzqK1RjSZPcq6zTepXae/2019-warhead-RDA-30mm-diamater-red-copper-brass-stainless-steel-Adjustable-Airflow-Tank-For-Electronic-Cigarette.jpg,https://ae01.alicdn.com/kf/HTB1Ek2gTSzqK1RjSZFpq6ykSXXa2/2019-warhead-RDA-30mm-diamater-red-copper-brass-stainless-steel-Adjustable-Airflow-Tank-For-Electronic-Cigarette.jpg,https://ae01.alicdn.com/kf/HTB1akK_TSzqK1RjSZPxq6A4tVXar/2019-warhead-RDA-30mm-diamater-red-copper-brass-stainless-steel-Adjustable-Airflow-Tank-For-Electronic-Cigarette.jpg,https://ae01.alicdn.com/kf/HTB1YUDgTPTpK1RjSZKPq6y3UpXan/2019-warhead-RDA-30mm-diamater-red-copper-brass-stainless-steel-Adjustable-Airflow-Tank-For-Electronic-Cigarette.jpg,https://ae01.alicdn.com/kf/HTB1EA_GTNnaK1RjSZFtq6zC2VXaM/2019-warhead-RDA-30mm-diamater-red-copper-brass-stainless-steel-Adjustable-Airflow-Tank-For-Electronic-Cigarette.jpg,",https://www.aliexpress.com/item/2019-warhead-RDA-30mm-diamater-red-copper-brass-stainless-steel-Adjustable-Airflow-Tank-For-Electronic-Cigarette/33008773060.html,14.55,0,8.00%,2024-07-02,0,http://s.click.aliexpress.com/e/b5xuaPkU
Electronic Cigarettes,200003561,GS Ego-2 2200mah 3D Huge Capacity Battery Fit M14 Ce4 Vaper Atomizer Ego for 510 CE4 Atomizer GS Ego 2 Battery vape Vaporiz mods,33010258062,https://ae01.alicdn.com/kf/HTB1luZOTmzqK1RjSZPxq6A4tVXa8/GS-Ego-2-2200mah-3D-Huge-Capacity-Battery-Fit-M14-Ce4-Vaper-Atomizer-Ego-for-510.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1luZOTmzqK1RjSZPxq6A4tVXa8/GS-Ego-2-2200mah-3D-Huge-Capacity-Battery-Fit-M14-Ce4-Vaper-Atomizer-Ego-for-510.jpg,https://ae01.alicdn.com/kf/HTB1EOI6ThjaK1RjSZFAq6zdLFXap/GS-Ego-2-2200mah-3D-Huge-Capacity-Battery-Fit-M14-Ce4-Vaper-Atomizer-Ego-for-510.jpg,https://ae01.alicdn.com/kf/HTB1adcUTirpK1RjSZFhq6xSdXXaV/GS-Ego-2-2200mah-3D-Huge-Capacity-Battery-Fit-M14-Ce4-Vaper-Atomizer-Ego-for-510.jpg,https://ae01.alicdn.com/kf/HTB1ScdTgu3tHKVjSZSgq6x4QFXaX/GS-Ego-2-2200mah-3D-Huge-Capacity-Battery-Fit-M14-Ce4-Vaper-Atomizer-Ego-for-510.jpg,https://ae01.alicdn.com/kf/HTB1wwOfavc3T1VjSZPfq6AWHXXan/GS-Ego-2-2200mah-3D-Huge-Capacity-Battery-Fit-M14-Ce4-Vaper-Atomizer-Ego-for-510.jpg,",https://www.aliexpress.com/item/GS-Ego-2-2200mah-3D-Huge-Capacity-Battery-Fit-M14-Ce4-Vaper-Atomizer-Ego-for-510/33010258062.html,10.5,0,8.00%,2024-07-02,0,http://s.click.aliexpress.com/e/ArZhoEc
Electronic Cigarettes,200003561,SUB TWO Elthunder MOD E Cigarette Top Refill VAPE RDA RDTA fit with 510 thread 18650 Battery   High quality mechanical mech mod,33008625607,https://ae01.alicdn.com/kf/HTB1T2NuTRLoK1RjSZFuq6xn0XXaB/SUB-TWO-Elthunder-MOD-E-Cigarette-Top-Refill-VAPE-RDA-RDTA-fit-with-510-thread-18650.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1T2NuTRLoK1RjSZFuq6xn0XXaB/SUB-TWO-Elthunder-MOD-E-Cigarette-Top-Refill-VAPE-RDA-RDTA-fit-with-510-thread-18650.jpg,https://ae01.alicdn.com/kf/HTB1nPpATG6qK1RjSZFmq6x0PFXa0/SUB-TWO-Elthunder-MOD-E-Cigarette-Top-Refill-VAPE-RDA-RDTA-fit-with-510-thread-18650.jpg,https://ae01.alicdn.com/kf/HTB1LXdqTSzqK1RjSZPxq6A4tVXaC/SUB-TWO-Elthunder-MOD-E-Cigarette-Top-Refill-VAPE-RDA-RDTA-fit-with-510-thread-18650.jpg,https://ae01.alicdn.com/kf/HTB1dUdZTNnaK1RjSZFtq6zC2VXaS/SUB-TWO-Elthunder-MOD-E-Cigarette-Top-Refill-VAPE-RDA-RDTA-fit-with-510-thread-18650.jpg,https://ae01.alicdn.com/kf/HTB1X_dATFzqK1RjSZFCq6zbxVXaW/SUB-TWO-Elthunder-MOD-E-Cigarette-Top-Refill-VAPE-RDA-RDTA-fit-with-510-thread-18650.jpg,",https://www.aliexpress.com/item/SUB-TWO-Elthunder-MOD-E-Cigarette-Top-Refill-VAPE-RDA-RDTA-fit-with-510-thread-18650/33008625607.html,16.5,0,8.00%,2024-07-02,0,http://s.click.aliexpress.com/e/b2USPkvi
Electronic Cigarettes,200003561,20Pcs Electronic Cigarettes Vape Cartridge Pods 0.7ml Capacity e Cigs Pod for e Cigarette Vape Battery Device Starter Kits,33048026590,https://ae01.alicdn.com/kf/HTB191W6UsbpK1RjSZFyq6x_qFXaY/20Pcs-Electronic-Cigarettes-Vape-Cartridge-Pods-0-7ml-Capacity-e-Cigs-Pod-for-e-Cigarette-Vape.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB191W6UsbpK1RjSZFyq6x_qFXaY/20Pcs-Electronic-Cigarettes-Vape-Cartridge-Pods-0-7ml-Capacity-e-Cigs-Pod-for-e-Cigarette-Vape.jpg,https://ae01.alicdn.com/kf/HTB118YXUAvoK1RjSZFwq6AiCFXaa/20Pcs-Electronic-Cigarettes-Vape-Cartridge-Pods-0-7ml-Capacity-e-Cigs-Pod-for-e-Cigarette-Vape.jpg,https://ae01.alicdn.com/kf/HTB18hvnUyLaK1RjSZFxq6ymPFXab/20Pcs-Electronic-Cigarettes-Vape-Cartridge-Pods-0-7ml-Capacity-e-Cigs-Pod-for-e-Cigarette-Vape.jpg,https://ae01.alicdn.com/kf/HTB1phfeUxYaK1RjSZFnq6y80pXae/20Pcs-Electronic-Cigarettes-Vape-Cartridge-Pods-0-7ml-Capacity-e-Cigs-Pod-for-e-Cigarette-Vape.jpg,https://ae01.alicdn.com/kf/HTB1Qrsnbvc3T1VjSZLeq6zZsVXae/20Pcs-Electronic-Cigarettes-Vape-Cartridge-Pods-0-7ml-Capacity-e-Cigs-Pod-for-e-Cigarette-Vape.jpg,",https://www.aliexpress.com/item/20Pcs-Electronic-Cigarettes-Vape-Cartridge-Pods-0-7ml-Capacity-e-Cigs-Pod-for-e-Cigarette-Vape/33048026590.html,38.89,31.11,8.00%,2024-07-03,20%,http://s.click.aliexpress.com/e/ct7ihXIg
Electronic Cigarettes,200003561,4pcs Vape Pods with 0.7ml Capacity Cartridge Pod 1.4ohm Coil Resistance Refillable Pod for e-Cigarettes Vape Device Pen,33045528349,https://ae01.alicdn.com/kf/HTB1P_.caMFY.1VjSZFqq6ydbXXa9/4pcs-Vape-Pods-with-0-7ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1P_.caMFY.1VjSZFqq6ydbXXa9/4pcs-Vape-Pods-with-0-7ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for.jpg,https://ae01.alicdn.com/kf/HTB1bm8wObvpK1RjSZFqq6AXUVXas/4pcs-Vape-Pods-with-0-7ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for.jpg,https://ae01.alicdn.com/kf/HTB19W.daMFY.1VjSZFnq6AFHXXa4/4pcs-Vape-Pods-with-0-7ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for.jpg,https://ae01.alicdn.com/kf/HTB1jJlxOgHqK1RjSZFgq6y7JXXay/4pcs-Vape-Pods-with-0-7ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for.jpg,https://ae01.alicdn.com/kf/HTB1ihCwbe3tHKVjSZSgq6x4QFXaB/4pcs-Vape-Pods-with-0-7ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for.jpg,",https://www.aliexpress.com/item/4pcs-Vape-Pods-with-0-7ml-Capacity-Cartridge-Pod-1-4ohm-Coil-Resistance-Refillable-Pod-for/33045528349.html,12.98,10.38,8.00%,2024-07-03,20%,http://s.click.aliexpress.com/e/bhd15enq
Electronic Cigarettes,200003561,20Pcs/Lot Vape Pen Pods 1.0ml Closed System Pod Vape Cartridge for Electronic Cigarette BCD Refillable Pods,33039779173,https://ae01.alicdn.com/kf/HTB16Vw8a7xz61VjSZFrq6xeLFXaN/20Pcs-Lot-Vape-Pen-Pods-1-0ml-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB16Vw8a7xz61VjSZFrq6xeLFXaN/20Pcs-Lot-Vape-Pen-Pods-1-0ml-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD.jpg,https://ae01.alicdn.com/kf/HTB1Y2RjcB1D3KVjSZFyq6zuFpXaX/20Pcs-Lot-Vape-Pen-Pods-1-0ml-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD.jpg,https://ae01.alicdn.com/kf/HTB194hhcv5G3KVjSZPxq6zI3XXa5/20Pcs-Lot-Vape-Pen-Pods-1-0ml-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD.jpg,https://ae01.alicdn.com/kf/HTB1ZO0ncBGw3KVjSZFwq6zQ2FXaE/20Pcs-Lot-Vape-Pen-Pods-1-0ml-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD.jpg,https://ae01.alicdn.com/kf/HTB1Zt4icA9E3KVjSZFGq6A19XXa7/20Pcs-Lot-Vape-Pen-Pods-1-0ml-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD.jpg,",https://www.aliexpress.com/item/20Pcs-Lot-Vape-Pen-Pods-1-0ml-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD/33039779173.html,36.75,29.4,8.00%,2024-07-03,20%,http://s.click.aliexpress.com/e/bIFd9p4G
Electronic Cigarettes,200003561,4Pcs Vape Pen Pods 1.0ml Capacity  Closed System Pod Vape Cartridge for Electronic Cigarette BCD Pods,33039771423,https://ae01.alicdn.com/kf/HTB1tF4kcEuF3KVjSZK9q6zVtXXa2/4Pcs-Vape-Pen-Pods-1-0ml-Capacity-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1tF4kcEuF3KVjSZK9q6zVtXXa2/4Pcs-Vape-Pen-Pods-1-0ml-Capacity-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD.jpg,https://ae01.alicdn.com/kf/HTB1kAlhcxiH3KVjSZPfq6xBiVXav/4Pcs-Vape-Pen-Pods-1-0ml-Capacity-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD.jpg,https://ae01.alicdn.com/kf/HTB1t8ljcBOD3KVjSZFFq6An9pXa2/4Pcs-Vape-Pen-Pods-1-0ml-Capacity-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD.jpg,https://ae01.alicdn.com/kf/HTB18hlhcv1H3KVjSZFBq6zSMXXaw/4Pcs-Vape-Pen-Pods-1-0ml-Capacity-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD.jpg,https://ae01.alicdn.com/kf/HTB1LNyvXLBj_uVjSZFpq6A0SXXaz/4Pcs-Vape-Pen-Pods-1-0ml-Capacity-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD.jpg,",https://www.aliexpress.com/item/4Pcs-Vape-Pen-Pods-1-0ml-Capacity-Closed-System-Pod-Vape-Cartridge-for-Electronic-Cigarette-BCD/33039771423.html,13.49,10.79,8.00%,2024-07-03,20%,http://s.click.aliexpress.com/e/bdD5S3io
